Name_of_the_Purchaser,Denominations,purchase_date,purchase_month,purchase_year,id
OMKAR VENTURES PVT LTD,10000000.0,12,Apr,2019,OC7064
PATEL HIGHWAY MANAGEMENT PVT LTD,10000000.0,12,Apr,2019,OC2855
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7018
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7052
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC6678
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC6684
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7002
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7048
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7020
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7008
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC6694
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7024
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7006
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7026
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7028
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC6690
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC6700
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7044
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC6698
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7022
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC6674
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7004
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7030
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC6688
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7046
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7014
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC6682
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7036
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7050
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC6692
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7038
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7010
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7012
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC6676
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7034
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC6686
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC6680
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7032
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7040
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7016
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC6696
PHL FINIVEST PVT LTD,10000000.0,12,Apr,2019,OC7042
PIRAMAL CAPITAL AND HOUSING FINANCE LTD,10000000.0,12,Apr,2019,OC6699
PIRAMAL CAPITAL AND HOUSING FINANCE LTD,10000000.0,12,Apr,2019,OC6683
PIRAMAL CAPITAL AND HOUSING FINANCE LTD,10000000.0,12,Apr,2019,OC6687
PIRAMAL CAPITAL AND HOUSING FINANCE LTD,10000000.0,12,Apr,2019,OC6695
PIRAMAL CAPITAL AND HOUSING FINANCE LTD,10000000.0,12,Apr,2019,OC7001
PIRAMAL CAPITAL AND HOUSING FINANCE LTD,10000000.0,12,Apr,2019,OC6697
PIRAMAL CAPITAL AND HOUSING FINANCE LTD,10000000.0,12,Apr,2019,OC6691
PIRAMAL CAPITAL AND HOUSING FINANCE LTD,10000000.0,12,Apr,2019,OC6693
PIRAMAL CAPITAL AND HOUSING FINANCE LTD,10000000.0,12,Apr,2019,OC6685
PIRAMAL CAPITAL AND HOUSING FINANCE LTD,10000000.0,12,Apr,2019,OC6689
PIRAMAL ENTERPRISES LTD,10000000.0,12,Apr,2019,OC7007
